site,lon180_requested,lat_requested,lon360_grid,lon180_grid,lat_grid,depth_idx,depth_mid_m,depth_top_m,depth_bot_m,dz_m,scenario,temp_C,pO2_kPa,zmeso,zmicro,I_day_rel,I_night_rel
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,33,5500,5250,5750,500,hist,NaN,NaN,NaN,NaN,9.99999996004197e-13,9.99999996004197e-13
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,34,6000,5750,6250,500,hist,NaN,NaN,NaN,NaN,9.99999996004197e-13,9.99999996004197e-13
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,35,6500,6250,6750,500,hist,NaN,NaN,NaN,NaN,9.99999996004197e-13,9.99999996004197e-13
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,1,2.5,0,6.25,6.25,ssp585,27.3242359161377,21.4177780151367,0.000132150715216994,0.000356688804458827,0.950951099395752,0.000950951070990413
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,2,10,6.25,15,8.75,ssp585,27.2275409698486,21.4211101531982,0.000132612432935275,0.000358633114956319,0.817772924900055,0.000817772932350636
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,3,20,15,26.25,11.25,ssp585,26.9244823455811,21.4567184448242,0.00013414713612292,0.000363297440344468,0.668752551078796,0.000668752531055361
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,4,32.5,26.25,41.875,15.625,ssp585,26.1710548400879,21.6116619110107,0.000145332829561085,0.000381714315153658,0.520063519477844,0.000520063505973667
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,5,51.25,41.875,63.125,21.25,ssp585,25.091064453125,21.6957359313965,0.000170344123034738,0.000421637785620987,0.356650412082672,0.000356650416506454
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,6,75,63.125,87.5,24.375,ssp585,24.122594833374,21.4731998443604,0.000155457877553999,0.000405823346227407,0.22117979824543,0.00022117979824543
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,7,100,87.5,112.5,25,ssp585,23.0810642242432,20.8312358856201,5.41998269909527e-05,0.000164006007253192,0.133760318160057,0.000133760317112319
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,8,125,112.5,140.625,28.125,ssp585,22.0079021453857,20.2326622009277,1.37440056278137e-05,2.32303827942815e-05,0.0808926597237587,8.08926561148837e-05
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,9,156.25,140.625,178.125,37.5,ssp585,20.54612159729,19.6949405670166,5.07957156514749e-06,4.00942235501134e-06,0.0431406199932098,4.31406187999528e-05
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,10,200,178.125,225,46.875,ssp585,18.1030960083008,19.0091705322266,2.38963798437908e-06,1.01758496384718e-06,0.0178918223828077,1.78918216988677e-05
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,11,250,225,281.25,56.25,ssp585,15.0391330718994,18.0952453613281,1.54173346800235e-06,5.06628282437305e-07,0.00654362188652158,6.54362202112679e-06
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,12,312.5,281.25,356.25,75,ssp585,12.4954557418823,16.8072566986084,1.08052722680441e-06,3.48047990428313e-07,0.00186111312359571,1.86111310540582e-06
HOTstationALOHA,-158,22.75,201.5,-158.5,22.5,13,400,356.25,450,93.75,ssp585,10.210057258606,14.1040182113647,6.4921556486297e-07,2.06840368832673e-07,0.000320117309456691,3.20117294450029e-07
